,state,participation19,composite19
0,Alabama,100%,18.9
1,Alaska,38%,20.1
2,Arizona,73%,19.0
3,Arkansas,100%,19.3
4,California,23%,22.6
5,Colorado,27%,23.8
6,Connecticut,22%,25.5
7,Delaware,13%,24.1
8,District of Columbia,32%,23.5
9,Florida,54%,20.1
10,Georgia,49%,21.4
11,Hawaii,80%,19.0
12,Idaho,31%,22.5
13,Illinois,35%,24.3
14,Indiana,29%,22.5
15,Iowa,66%,21.6
16,Kansas,72%,21.2
17,Kentucky,100%,19.8
18,Louisiana,100%,18.8
19,Maine,6%,24.3
20,Maryland,28%,22.3
21,Massachusetts,21%,25.5
22,Michigan,19%,24.4
23,Minnesota,95%,21.4
24,Mississippi,100%,18.4
25,Missouri,82%,20.8
26,Montana,100%,19.8
27,Nebraska,100%,20.0
28,Nevada,100%,17.9
29,New Hampshire,14%,25.0
30,New Jersey,25%,24.2
31,New Mexico,63%,19.3
32,New York,22%,24.5
33,North Carolina,100%,19.0
34,North Dakota,96%,19.9
35,Ohio,100%,20.0
36,Oklahoma,100%,18.9
37,Oregon,42%,21.1
38,Pennsylvania,17%,23.6
39,Rhode Island,12%,24.7
40,South Carolina,78%,18.8
41,South Dakota,75%,21.6
42,Tennessee,100%,19.4
43,Texas,39%,20.5
44,Utah,100%,20.3
45,Vermont,20%,24.1
46,Virginia,21%,24.0
47,Washington,24%,22.1
48,West Virginia,49%,20.8
49,Wisconsin,100%,20.3
50,Wyoming,100%,19.8
51,National,52%,20.7
